x,y
tensor(0.2294),tensor(0.2719)
tensor(0.1039),tensor(0.0315)
tensor(0.8032),tensor(2.2147)
tensor(0.1837),tensor(0.4016)
tensor(0.7112),tensor(1.2604)
tensor(21.4185),tensor(-8.5091)
tensor(20.4266),tensor(-6.0917)
tensor(0.3984),tensor(1.4308)
tensor(10.9337),tensor(-3.1710)
tensor(15.6891),tensor(-6.8289)
tensor(9.6673),tensor(-2.8037)
tensor(7.1163),tensor(3.2479)
tensor(5.1327),tensor(2.3425)
tensor(0.6876),tensor(-0.0891)
tensor(13.1332),tensor(-3.8088)
tensor(22.7491),tensor(-6.4342)
tensor(23.7274),tensor(-6.7109)
tensor(0.3600),tensor(-0.2059)
tensor(0.8554),tensor(3.0122)
tensor(0.6925),tensor(3.8392)
tensor(1.7445),tensor(6.2647)
tensor(10.3480),tensor(-3.0011)
tensor(10.7269),tensor(-3.1110)
tensor(1.4997),tensor(5.3857)
tensor(0.6507),tensor(0.6230)
tensor(0.3305),tensor(1.1870)
tensor(0.6211),tensor(1.1006)
tensor(1.5545),tensor(0.4708)
tensor(0.5424),tensor(0.9612)
tensor(0.4411),tensor(0.4223)
tensor(0.1066),tensor(0.3828)
tensor(4.6041),tensor(-1.9726)
tensor(23.0234),tensor(-6.5118)
tensor(5.2665),tensor(-1.6636)
tensor(0.7235),tensor(4.0115)
tensor(0.7591),tensor(1.3453)
tensor(5.4252),tensor(-1.7137)
tensor(1.9469),tensor(0.5896)
tensor(0.0982),tensor(0.3526)
tensor(0.6095),tensor(1.6077)
tensor(0.3085),tensor(0.2953)
tensor(0.3762),tensor(0.3602)
tensor(1.6854),tensor(-0.2184)
tensor(0.6055),tensor(3.3570)
tensor(23.7233),tensor(-6.7097)
tensor(0.6491),tensor(0.6215)
tensor(10.0628),tensor(-2.9184)
tensor(0.0503),tensor(0.1807)
tensor(0.7031),tensor(2.4756)
tensor(0.0517),tensor(-0.0056)
tensor(1.6770),tensor(-0.7185)
tensor(1.1921),tensor(3.2868)
tensor(0.0108),tensor(0.0287)
tensor(13.6332),tensor(-5.9341)
tensor(0.6107),tensor(1.6107)
tensor(14.7869),tensor(-4.2884)
tensor(0.2785),tensor(0.6087)
tensor(0.9313),tensor(3.3443)
tensor(0.1609),tensor(-0.0921)
tensor(0.2748),tensor(-0.1572)
tensor(0.6805),tensor(1.2060)
tensor(0.5495),tensor(1.4495)
tensor(20.8748),tensor(-6.2253)
tensor(20.8347),tensor(-8.2772)
tensor(0.7143),tensor(3.9600)
tensor(0.6542),tensor(0.6263)
tensor(1.4795),tensor(0.4481)
tensor(0.0197),tensor(0.0509)
tensor(0.7457),tensor(1.3215)
tensor(1.4824),tensor(0.4489)
tensor(12.7822),tensor(-3.7070)
tensor(0.4284),tensor(0.7592)
tensor(0.0508),tensor(0.1823)
tensor(1.5552),tensor(0.4710)
tensor(11.5648),tensor(-3.3540)
tensor(7.7715),tensor(3.5469)
tensor(0.5730),tensor(1.5113)
tensor(15.0313),tensor(-4.3593)
tensor(18.6435),tensor(-4.9600)
tensor(7.7635),tensor(-2.3822)
tensor(0.1351),tensor(0.0409)
tensor(1.5585),tensor(5.5968)
tensor(3.3282),tensor(1.5190)
tensor(0.1534),tensor(0.5508)
tensor(20.9729),tensor(-6.2546)
tensor(0.3360),tensor(0.8862)
tensor(8.4898),tensor(3.8747)
tensor(0.5519),tensor(1.2065)
tensor(2.2194),tensor(-0.9509)
tensor(0.4609),tensor(-0.2637)
tensor(0.6316),tensor(3.5020)
tensor(0.7380),tensor(0.4111)
tensor(1.4814),tensor(0.4486)
tensor(0.4238),tensor(1.1179)
tensor(0.5877),tensor(1.0415)
tensor(0.8719),tensor(3.1312)
tensor(7.9318),tensor(3.6200)
tensor(6.8603),tensor(-1.0778)
tensor(0.0681),tensor(0.2445)
tensor(0.0529),tensor(0.1901)
tensor(0.8556),tensor(3.0128)
tensor(0.6592),tensor(-0.3771)
tensor(1.5209),tensor(0.4606)
tensor(0.1056),tensor(0.2725)
tensor(0.5563),tensor(0.5326)
tensor(6.4226),tensor(2.9312)
tensor(13.4725),tensor(-5.8642)
tensor(0.6642),tensor(3.6827)
tensor(0.0500),tensor(0.1795)
tensor(0.0247),tensor(0.0637)
tensor(11.9800),tensor(-3.4744)
tensor(9.0515),tensor(-2.7775)
tensor(8.2017),tensor(-2.5167)
tensor(8.1046),tensor(-2.4869)
tensor(23.5521),tensor(-6.6613)
tensor(0.4404),tensor(0.9626)
tensor(0.5859),tensor(1.2808)
tensor(0.7066),tensor(1.2522)
tensor(0.4496),tensor(0.7968)
tensor(10.7251),tensor(-3.1105)
tensor(0.1284),tensor(0.4610)
tensor(7.8812),tensor(-2.4183)
tensor(0.2472),tensor(0.5404)
tensor(0.0610),tensor(0.1573)
tensor(0.6492),tensor(0.6215)
tensor(0.7485),tensor(2.0637)
tensor(3.6497),tensor(1.6657)
tensor(15.3502),tensor(-6.6814)
tensor(0.0073),tensor(0.0194)
tensor(0.0667),tensor(0.1722)
tensor(0.6575),tensor(-0.3761)
tensor(0.8065),tensor(4.4713)
tensor(1.4843),tensor(0.4495)
tensor(21.3102),tensor(-8.4661)
tensor(0.3953),tensor(1.3920)
tensor(6.5917),tensor(-1.0356)
tensor(0.0188),tensor(0.0486)
tensor(1.6402),tensor(-0.7027)
tensor(6.7680),tensor(-1.0633)
tensor(0.8116),tensor(2.2377)
tensor(22.2641),tensor(-6.2970)
tensor(14.2780),tensor(-4.1408)
tensor(0.5262),tensor(0.9325)
tensor(8.9718),tensor(4.0947)
tensor(18.0327),tensor(-4.7975)
tensor(10.4284),tensor(-4.5391)
tensor(0.5777),tensor(1.2628)
tensor(0.0573),tensor(0.2059)
tensor(0.0792),tensor(0.2846)
tensor(0.9711),tensor(5.3841)
tensor(6.8602),tensor(-2.1051)
tensor(0.4078),tensor(1.0756)
tensor(0.7421),tensor(0.2247)
tensor(0.5720),tensor(2.0141)
tensor(0.3502),tensor(1.9413)
tensor(0.6389),tensor(3.5421)
tensor(0.0697),tensor(0.1800)
tensor(1.1589),tensor(6.4251)
tensor(0.0933),tensor(0.2409)
tensor(0.0699),tensor(0.2510)
tensor(0.2867),tensor(0.7766)
tensor(5.9019),tensor(-1.8643)
tensor(0.0068),tensor(0.0181)
tensor(0.7286),tensor(4.0398)
tensor(1.1944),tensor(-0.1548)
tensor(1.6897),tensor(-0.2190)
tensor(14.7761),tensor(-4.2853)
tensor(12.3585),tensor(-3.5842)
tensor(5.7979),tensor(-1.8315)
tensor(0.0569),tensor(0.1468)
tensor(0.2971),tensor(1.0463)
tensor(8.2768),tensor(3.7775)
tensor(13.8755),tensor(-4.0241)
tensor(2.9430),tensor(1.3432)
tensor(1.1124),tensor(0.6196)
tensor(0.2301),tensor(0.8101)
tensor(1.4808),tensor(0.4484)
tensor(1.6193),tensor(0.4904)
tensor(6.0324),tensor(-1.9055)
tensor(14.1737),tensor(-6.1694)
tensor(0.6130),tensor(3.3989)
tensor(1.6191),tensor(5.8142)
tensor(0.8972),tensor(4.9740)
tensor(0.0877),tensor(0.2264)
tensor(0.6552),tensor(0.6273)
tensor(0.5659),tensor(2.0322)
tensor(1.8116),tensor(1.0090)
tensor(0.0801),tensor(0.2877)
tensor(1.6076),tensor(0.4869)
tensor(0.2226),tensor(0.2639)
tensor(1.5516),tensor(0.4699)
tensor(0.0625),tensor(0.2246)
tensor(1.6363),tensor(0.4955)
tensor(0.7204),tensor(1.2767)
tensor(0.7804),tensor(0.2363)
tensor(0.9286),tensor(-0.1203)
tensor(3.4428),tensor(1.5713)
tensor(6.6228),tensor(-1.0405)
tensor(5.4941),tensor(-1.7355)
tensor(0.2091),tensor(0.4570)
tensor(0.8057),tensor(4.4668)
tensor(23.4978),tensor(-6.6459)
tensor(1.4754),tensor(0.4468)
tensor(0.0559),tensor(0.2009)
tensor(0.6214),tensor(3.4454)
tensor(21.1846),tensor(-6.3177)
tensor(1.9323),tensor(0.5852)
tensor(0.7834),tensor(1.3884)
tensor(14.0838),tensor(-4.0845)
tensor(0.6803),tensor(1.2057)
tensor(0.2966),tensor(-0.1697)
tensor(0.6014),tensor(0.5758)
tensor(20.3226),tensor(-6.0606)
tensor(0.0549),tensor(0.1971)
tensor(5.9223),tensor(-0.9304)
tensor(0.3093),tensor(0.0937)
tensor(0.7293),tensor(2.0109)
tensor(0.0116),tensor(0.0307)
tensor(5.8366),tensor(-1.8437)
tensor(0.6019),tensor(3.3373)
tensor(17.7629),tensor(-4.7257)
tensor(0.6513),tensor(0.6236)
tensor(4.9889),tensor(2.2769)
tensor(0.4422),tensor(2.4518)
tensor(18.8553),tensor(-7.4908)
tensor(5.8762),tensor(-1.8562)
tensor(0.0239),tensor(0.0617)
tensor(0.5635),tensor(0.9986)
tensor(9.5483),tensor(-2.9299)
tensor(11.1446),tensor(-3.2321)
tensor(6.5685),tensor(-2.0155)
tensor(0.2810),tensor(0.2690)
tensor(0.9426),tensor(2.5989)
tensor(9.3960),tensor(4.2883)
tensor(0.3396),tensor(-0.1943)
tensor(1.3811),tensor(0.7693)
tensor(0.0895),tensor(-0.0259)
tensor(0.5664),tensor(3.1402)
tensor(0.0117),tensor(0.0311)
tensor(1.2480),tensor(0.6951)
tensor(0.4946),tensor(0.8766)
tensor(0.2421),tensor(0.9019)
tensor(0.4908),tensor(1.0728)
tensor(0.7168),tensor(3.9742)
tensor(1.1541),tensor(3.1820)
tensor(0.0461),tensor(0.1191)
tensor(7.8600),tensor(3.5872)
tensor(0.6486),tensor(3.5959)
tensor(1.5172),tensor(0.4595)
tensor(0.4739),tensor(1.7017)
tensor(21.3139),tensor(-8.4675)
tensor(0.0657),tensor(0.2358)
